mapblklot,analysis_neighborhood,FZP Planning Code
6479030,Excelsior,RH-1
7109019,Outer Mission,RH-1
5411014,Bayview Hunters Point,NCD-BAYVIEW
0115084,North Beach,RH-3
3967028,Mission,UMU
5611072,Bernal Heights,RH-2
0209005,Chinatown,CVR
4275033,Mission,RH-2
5543011,Bernal Heights,RH-2
4275008B,Mission,RH-2
5322048,Bayview Hunters Point,RH-2
6783004,Outer Mission,RH-1
3568011,Mission,NCT-VALENCIA
3597029,Mission,RTO-M
5746005,Bernal Heights,RH-2
5517035,Bernal Heights,RH-2
7100045A,Outer Mission,RH-1
4224154,Potrero Hill,UMU
5471001A,Bayview Hunters Point,RH-1
0183017,Nob Hill,RM-3
3717021,Financial District/South Beach,C-3-O(SD)
4282ACOMJ,Potrero Hill,RH-1
6794001,Outer Mission,RH-1
5802035,Bernal Heights,RH-3
3569060,Mission,RTO-M
6616047,Noe Valley,RH-2
7052031,Oceanview/Merced/Ingleside,RH-1
5642061,Bernal Heights,RH-2
7071017,Oceanview/Merced/Ingleside,RH-1
4279028,Mission,MUR
5810007,Bernal Heights,RH-1
0052003,North Beach,NCD-NORTH BEACH
6534058,Mission,RH-3
5987007,Portola,RH-1
4710064,Bayview Hunters Point,RH-1
5663021,Bernal Heights,RH-1
3726040,South of Market,RED
6275030,Excelsior,RH-1
5357051,Bayview Hunters Point,RH-1
6634001B,Noe Valley,RH-3
5722003,Bernal Heights,RH-1
3646002,Mission,RH-3
7047046,Oceanview/Merced/Ingleside,RH-1
3638031,Mission,RH-3
5428F025,Bayview Hunters Point,RH-1
6752065,Outer Mission,RH-1
6120025,Portola,RH-1
6046010,Portola,RH-1
7044A010,Outer Mission,RH-1
6150032,Portola,RH-1
3569016,Mission,NCT-MISSION
7150013,Oceanview/Merced/Ingleside,RH-1
7104012,Oceanview/Merced/Ingleside,RH-1
6116044,Portola,RH-1
5721036,Bernal Heights,RH-2
6575005,Bernal Heights,RH-2
6202047,Visitacion Valley,RH-1
5661020,Bernal Heights,NCD-CORTLAND AVENUE
5663029,Bernal Heights,RH-1
6420038,Excelsior,RH-1
5384A008,Bayview Hunters Point,RH-1
5888036,Excelsior,RH-1
5697029,Bernal Heights,RH-1
5674002,Bernal Heights,RH-2
0837011,Hayes Valley,NCT-3
5739024,Bernal Heights,RH-1
7040B010,Outer Mission,RH-1
5688033,Bernal Heights,RH-1
5647001,Bernal Heights,RH-1
5657039,Bernal Heights,RH-1
0735093,Western Addition,RM-3
6528054,Mission,RTO-M
5864018,Portola,RH-1
7101A015,Outer Mission,RH-1
4995004,Bayview Hunters Point,RH-1
7088012,Oceanview/Merced/Ingleside,RH-1
6236020,Visitacion Valley,RH-1
6165054,Visitacion Valley,RH-1
7078010,Oceanview/Merced/Ingleside,RH-1
6720004,Bernal Heights,NC-2
5706010,Bernal Heights,RH-1
0735073,Western Addition,RM-3
6634006,Noe Valley,RH-3
5259009B,Bayview Hunters Point,RH-1
5340007A,Bayview Hunters Point,RH-2
5682008,Bernal Heights,RH-1
4264053,Mission,RH-3
4207032,Mission,RH-2
5517081,Bernal Heights,RH-2
5529006,Bernal Heights,RH-1
3144B019,Outer Mission,RH-1
4085045,Mission,RM-1
6511013,Mission,RH-3
7079001A,Oceanview/Merced/Ingleside,RH-1
4810004A,Bayview Hunters Point,RH-1
4004014,Potrero Hill,NC-2
0103019,North Beach,RM-2
6301001A,Visitacion Valley,RH-1
3587028,Mission,RH-3
5725006,Bernal Heights,RH-1
4086020,Mission,RH-2
3568095,Mission,RTO-M
6751006,Outer Mission,RH-1
6176007,Visitacion Valley,RH-1
3576008,Mission,NCT-MISSION
6062014,Portola,RH-1
7073044,Oceanview/Merced/Ingleside,RH-1
0226001,Chinatown,CCB
7017032,Oceanview/Merced/Ingleside,RH-1
5400015,Bayview Hunters Point,RH-1
6493035,Excelsior,RH-1
3730254,South of Market,NCT-FOLSOM
5937006,Excelsior,RH-1
7381059,Lakeshore,RH-1
6300005,Visitacion Valley,RH-1
6443033,Excelsior,RH-1
7097002B,Outer Mission,RH-1
6025004,Excelsior,RH-1
7113019D,Oceanview/Merced/Ingleside,RH-1
4039006,Potrero Hill,RH-2
3590053,Mission,RTO-M
7113010A,Oceanview/Merced/Ingleside,RH-1
7136017,Oceanview/Merced/Ingleside,RH-1
5886040,Excelsior,RH-1
3637084,Mission,RTO-M
0195016,Chinatown,CRNC
4968015,Bayview Hunters Point,RH-1
6531024,Mission,RM-2
4808030,Bayview Hunters Point,RH-1
5556071,Bernal Heights,RH-1
4808031,Bayview Hunters Point,RH-1
4144032,Mission,RM-1
4273033,Mission,RH-3
3150011,Outer Mission,RH-1
5478004,Portola,RM-1
5938006,Excelsior,RH-1
6617064,Noe Valley,NC-1
4096001,Potrero Hill,RM-1
0149009,Nob Hill,RM-2
3206018,Outer Mission,RH-1
7130016,Oceanview/Merced/Ingleside,RH-1
6720011A,Bernal Heights,RH-1
7079014,Oceanview/Merced/Ingleside,RH-1
5354016,Bayview Hunters Point,RH-1
6252034,Visitacion Valley,RH-1
3636014,Mission,RTO-M
4150033,Mission,RH-3
7084042,Oceanview/Merced/Ingleside,RH-1
3785016,Mission Bay,MUG
4095064,Potrero Hill,RH-3
6052004A,Portola,RH-1
4761027,Bayview Hunters Point,RH-2
6080026,Excelsior,RH-1
5952004,Excelsior,RH-2
4037013A,Potrero Hill,RH-2
4975013,Bayview Hunters Point,RH-1
5382050,Bayview Hunters Point,RH-1
5551009,Bernal Heights,RH-1
6953045,Outer Mission,RH-1
5709008,Bernal Heights,RH-2
5655015,Bernal Heights,RH-1
0104016,North Beach,RH-3
0281019,Nob Hill,RC-4
7100043C,Outer Mission,RH-1
6500010,Excelsior,RH-1(D)
5406001,Bayview Hunters Point,RH-1
6246057,Visitacion Valley,RH-1
6451010,Excelsior,RH-1
6373006,Visitacion Valley,RH-1
7150004,Oceanview/Merced/Ingleside,RH-1
3779171,South of Market,RED-MX
3147030,Outer Mission,NCD-EXCELSIOR
4283B076,Potrero Hill,RH-1
4095078,Potrero Hill,RH-2
5936032,Excelsior,RH-1
7092066,Oceanview/Merced/Ingleside,RH-1
5815010,Bernal Heights,RH-1
3956003,Mission Bay,UMU
6994018,Oceanview/Merced/Ingleside,RH-1
7059031,Oceanview/Merced/Ingleside,RH-1
7057044,Oceanview/Merced/Ingleside,RH-1
0197002,Chinatown,C-2
5408039,Bayview Hunters Point,RH-1
6326010,Visitacion Valley,RH-1
3587067,Mission,RH-2
4720055,Bayview Hunters Point,RH-2
6023015,Excelsior,RH-1
5611054,Bernal Heights,RH-2
5957011,Excelsior,RH-1
0132012,North Beach,RM-1
4030041,Potrero Hill,RH-2
7103034,Oceanview/Merced/Ingleside,RH-1
0180019,Chinatown,RH-3
6156019,Portola,RM-1
6282002E,Excelsior,RH-1
7100014A,Outer Mission,RH-1
0317005,Tenderloin,RC-4
6192064,Visitacion Valley,RH-1
4711020,Bayview Hunters Point,RH-2
3634026,Mission,RH-3
6089032B,Excelsior,RH-1
3776456,South of Market,CMUO
4037029,Potrero Hill,NC-2
7019024,Oceanview/Merced/Ingleside,RH-1
7137022,Oceanview/Merced/Ingleside,RH-1
3641085,Mission,RH-2
6418029,Excelsior,RH-1
5978004,Portola,RH-1
4039004,Potrero Hill,RH-2
5669016,Bernal Heights,RH-2
5924005,Portola,NCD-SAN BRUNO AVENUE
6351016,Excelsior,RH-1
3607012C,Mission,RH-2
5813006,Bernal Heights,RH-1
3727226,South of Market,RED
5618019,Bernal Heights,RH-1
7043008,Outer Mission,RH-1
5724001,Bernal Heights,RH-1
5615117,Bernal Heights,RH-2
6302026,Visitacion Valley,RH-1
5335A104,Bayview Hunters Point,RH-1
3522079,Mission,RED
5935005,Excelsior,RH-1
5437033A,Portola,NCD-SAN BRUNO AVENUE
0235025,Financial District/South Beach,C-3-O
0338013,Tenderloin,RC-4
0256065,Nob Hill,RM-4
4045041,Potrero Hill,UMU
0156030,Nob Hill,RH-3
6599010,Noe Valley,RH-2
3644015A,Mission,RH-3
7030032,Outer Mission,RH-1
3962011,Mission,UMU
7126B033,Oceanview/Merced/Ingleside,RH-1
5357047,Bayview Hunters Point,RH-1
5898019,Excelsior,RH-1
6955010,Outer Mission,NCD-EXCELSIOR
0179018,Chinatown,CRNC
7381072,Lakeshore,RH-1
4711144,Bayview Hunters Point,RH-2
3533126,Mission,NCT-3
5726012,Bernal Heights,RH-1
5461041,Bayview Hunters Point,RH-1
5536009,Bernal Heights,RH-1
4004003A,Potrero Hill,RH-3
3598018,Mission,RH-3
6349018C,Excelsior,RH-1
7016045,Oceanview/Merced/Ingleside,RH-1
7038027,Oceanview/Merced/Ingleside,RH-1
3995049,Potrero Hill,UMU
5976042,Portola,RH-1
7109A004,Outer Mission,NCD-EXCELSIOR
3587088,Mission,NC-1
0329006,Financial District/South Beach,C-3-R
3598007,Mission,RM-2
3610050,Mission,RTO-M
5501074,Bernal Heights,RH-2
4211025,Mission,RH-2
7109A008,Outer Mission,RH-1
5678022,Bernal Heights,NCD-CORTLAND AVENUE
0779208,Western Addition,RM-4
0328003,Financial District/South Beach,C-3-R
0652077,Pacific Heights,RH-2
3508052,South of Market,C-3-G
3210025,Outer Mission,RH-1
7010015,Oceanview/Merced/Ingleside,RH-1
4211041,Mission,RH-3
6078025,Excelsior,RH-1
5666032,Bernal Heights,RH-1
4274011E,Mission,RH-2
0174004,Chinatown,C-2
0054076,North Beach,RH-3
6436018,Excelsior,RH-1(D)
6447014,Excelsior,RH-1
5361029,Bayview Hunters Point,RH-1
6259029,Visitacion Valley,RH-1
4208017,Mission,NCT-24TH-MISSION
6396056,Excelsior,RH-1
3631029,Mission,RM-1
5610008,Bernal Heights,RH-2
5905008,Excelsior,RH-1
5297011,Bayview Hunters Point,RH-2
0324001,Tenderloin,RC-4
5948025,Excelsior,RH-1
4068018,Potrero Hill,RH-2
0274024,Nob Hill,RM-4
7087033,Oceanview/Merced/Ingleside,RH-1
7136015,Oceanview/Merced/Ingleside,RH-1
5890033,Excelsior,RH-1
5727027,Bernal Heights,RH-1
5867015,Excelsior,RH-1
7106041A,Oceanview/Merced/Ingleside,RH-1
4052010,Potrero Hill,P70-MU
3708010,Financial District/South Beach,C-3-O(SD)
5335A120,Bayview Hunters Point,RH-1
5402006,Bayview Hunters Point,RH-1
6022026,Excelsior,RH-1
5462001,Bayview Hunters Point,RH-1
7094039,Oceanview/Merced/Ingleside,RH-1
8719C001,Mission Bay,MR-MU
7048014,Oceanview/Merced/Ingleside,RH-1
5730003,Bernal Heights,RH-1
7087013,Oceanview/Merced/Ingleside,RH-1
5242023,Bayview Hunters Point,NCT-3
6006041B,Excelsior,RH-1
6284008,Excelsior,RH-1
4263020,Mission,NCT-24TH-MISSION
6970008,Outer Mission,RH-1
3596110,Mission,NCT-MISSION
5667010,Bernal Heights,RH-1
0294006,Financial District/South Beach,C-3-R
6178024,Visitacion Valley,RH-1
6403012,Excelsior,RH-1
4103021,Potrero Hill,RH-2
7331129,Lakeshore,RM-1
5961005,Excelsior,RH-1
5925017,Portola,RH-2
6200013,Visitacion Valley,RH-1
0729048,Western Addition,RM-3
5871030,Excelsior,RH-1
6236004,Visitacion Valley,RH-1
5847025,Portola,RH-1
3705037,South of Market,C-3-R
6521038A,Mission,RH-3
6046025,Portola,RH-1
4074022,Potrero Hill,RH-2
5525016,Bernal Heights,RH-1
6522023A,Mission,RH-2
7106020,Oceanview/Merced/Ingleside,RH-1
6160009E,Portola,RH-1
4991216,Bayview Hunters Point,RH-2
0159029,Chinatown,RH-3
0147029,Chinatown,NCD-NORTH BEACH
7333A001,Lakeshore,PM-R
7041009,Outer Mission,RH-1
5670033,Bernal Heights,RH-2
6490010,Excelsior,RH-1
5335033,Bayview Hunters Point,RH-1
0147015,Chinatown,NCD-NORTH BEACH
7062010,Oceanview/Merced/Ingleside,RH-1
0127006,Nob Hill,RH-2
5274044,Bayview Hunters Point,RH-1
6953013,Outer Mission,RH-1
3587027,Mission,RH-3
6487016,Excelsior,RH-1
0735101,Western Addition,RM-3
7159050,Outer Mission,RH-1
7161044,Outer Mission,RH-1
5640024,Bernal Heights,RH-1
4279026,Mission,RH-2
5802014,Bernal Heights,RH-1(D)
4084016,Mission,RH-2
4715009,Bayview Hunters Point,RH-2
5894028,Excelsior,RH-1
6521035,Mission,RH-3
5387005B,Bayview Hunters Point,RH-1
6023016G,Excelsior,RH-1
5744012,Bernal Heights,RH-2
4652022,Bayview Hunters Point,RH-1
5305012,Bayview Hunters Point,RH-2
5668020,Bernal Heights,NCD-CORTLAND AVENUE
4142040,Mission,RM-1
6971B006,Outer Mission,RH-1
3753145,South of Market,MUR
4162062,Potrero Hill,RH-2
6043017,Portola,RH-1
4335004,Mission,RH-2
5947014,Excelsior,RH-1
6171021,Portola,RH-1
6089017E,Excelsior,RH-2
6172038,Portola,RM-1
6345038,Excelsior,RH-1
7061033,Oceanview/Merced/Ingleside,RH-1
5530006,Bernal Heights,RH-1
6237028,Visitacion Valley,RH-1
4711183,Bayview Hunters Point,RH-2
5802033,Bernal Heights,RH-3
6193025,Visitacion Valley,RH-1
6320008,Visitacion Valley,RH-2
5966011A,Excelsior,RH-1
6250003A,Visitacion Valley,RH-1
3614034,Mission,RH-3
6453025,Excelsior,RH-1(D)
3752009,South of Market,MUR
0180024,Chinatown,RH-3
0272004,Nob Hill,RC-4
5386010,Bayview Hunters Point,RH-1
3632014,Mission,RH-3
5353004B,Bayview Hunters Point,RH-1
4942006,Bayview Hunters Point,RH-1
0662040,Pacific Heights,RH-2
4762002A,Bayview Hunters Point,RH-2
0676060,Pacific Heights,RM-3
0158002,Nob Hill,RM-2
6208045,Visitacion Valley,RH-1
5925027,Portola,RH-2
4283B019,Potrero Hill,RH-1
5638005,Bernal Heights,RH-2
4974031,Bayview Hunters Point,RH-1
5959042,Excelsior,RH-1
4093018,Potrero Hill,RH-2
5522002,Bernal Heights,RH-2
6050003,Portola,RH-2
6249019,Visitacion Valley,NC-3
6489044,Excelsior,RH-1
5955004G,Excelsior,RH-1
5882015,Portola,RH-2
4993034,Bayview Hunters Point,RH-1
6468A017,Excelsior,RH-1
3611089,Mission,RH-3
6786016,Outer Mission,RH-1
6970002E,Outer Mission,RH-1
5926021,Portola,RH-1
5541016,Bernal Heights,RH-2
5577009,Bernal Heights,RH-1
7065010A,Outer Mission,RH-1
6435010,Excelsior,RH-1(D)
5312024,Bayview Hunters Point,RH-2
3151034,Outer Mission,RH-1
3705Z001,South of Market,C-3-R
6278041,Excelsior,RH-2
6989036,Oceanview/Merced/Ingleside,RH-1
6342038A,Excelsior,RH-1
6595009,Noe Valley,RH-2
6356058,Visitacion Valley,RH-1
7169023,Outer Mission,RH-1
5653003,Bernal Heights,RH-1
4283B038,Potrero Hill,RH-1
5306005,Bayview Hunters Point,NCD-BAYVIEW
6723008,Outer Mission,RH-1
3590059,Mission,RTO-M
5860043,Portola,RH-1
3753367,South of Market,MUR
5355042,Bayview Hunters Point,RH-1
6493009,Excelsior,RH-1
6080014,Excelsior,RH-1
4153036,Mission,RM-1
0027018,Russian Hill,RH-3
6091021,Excelsior,RH-2
4144011,Mission,RH-2
4710116,Bayview Hunters Point,RH-2
6753048,Outer Mission,RH-1
6436046,Excelsior,RH-1(D)
5279019,Bayview Hunters Point,RH-2
6331023,Visitacion Valley,RH-1
0978011,Pacific Heights,RH-1
5379012,Bayview Hunters Point,RH-1
3569051,Mission,NCT-VALENCIA
6720010,Bernal Heights,RH-2
6514007,Mission,NCT-VALENCIA
3706062,Financial District/South Beach,C-3-R
6357009,Visitacion Valley,RH-1
5813033,Bernal Heights,RH-1
5644040,Bernal Heights,RH-2
4038014A,Potrero Hill,RH-2
7069036,Oceanview/Merced/Ingleside,RH-1
6298004,Visitacion Valley,RH-1
5461045,Bayview Hunters Point,RH-1
6193021,Visitacion Valley,RH-1
6020013,Excelsior,RH-1
7124004,Oceanview/Merced/Ingleside,RH-1
5949017,Excelsior,RH-1
7008040,Oceanview/Merced/Ingleside,RH-1
5410005,Bayview Hunters Point,RH-2
3725021,South of Market,MUR
0272006,Nob Hill,RC-4
5540032,Bernal Heights,RH-1
3209009,Outer Mission,RH-1
4098020,Potrero Hill,RH-2
7381112,Lakeshore,RH-1
5652013,Bernal Heights,RH-1
4991259,Bayview Hunters Point,RH-2
6118029,Portola,RH-1
5893009A,Excelsior,RH-1
6799009,Outer Mission,RH-1
5434A009A,Bayview Hunters Point,RH-1
4064033,Potrero Hill,RH-2
6518034,Mission,RTO-M
7161018,Outer Mission,RH-1
5517005,Bernal Heights,RH-2
3154010,Outer Mission,RH-1
6958038,Outer Mission,RH-1
4991265,Bayview Hunters Point,RH-2
5309002A,Bayview Hunters Point,RH-1
6499007,Excelsior,RH-1(D)
5966021,Excelsior,RH-1
4102015,Potrero Hill,RH-2
5616013,Bernal Heights,RH-2
4941024,Bayview Hunters Point,NC-3
7009020,Oceanview/Merced/Ingleside,RH-1
6722020,Outer Mission,RH-1
3733081,South of Market,C-3-S
4941036,Bayview Hunters Point,RH-1
6348010,Excelsior,RH-1
0808044,Hayes Valley,NCT-HAYES
6128018,Portola,RH-1
3147027A,Outer Mission,RH-1
6515037,Mission,NCT-VALENCIA
4991118,Bayview Hunters Point,RH-2
6258016A,Visitacion Valley,RH-1
3522004,Mission,RED-MX
7143004,Outer Mission,NCD-EXCELSIOR
7129049,Oceanview/Merced/Ingleside,RH-1
6051009E,Portola,RH-1
6660048,Bernal Heights,RH-2
6433008,Excelsior,RH-1(D)
7138006,Oceanview/Merced/Ingleside,NC-1
6530002A,Mission,RTO-M
5813042,Bernal Heights,RH-1
6782028,Outer Mission,RH-1
5891035,Excelsior,RH-1
0662007,Pacific Heights,RH-2
4263032,Mission,RH-3
5501011,Bernal Heights,RH-2
5574011,Bernal Heights,RH-1
6245045,Visitacion Valley,RH-2
6121022,Portola,RH-1
3151022,Outer Mission,RH-1
5519023,Bernal Heights,RH-1
6079009B,Excelsior,RH-1
3212030,Outer Mission,RH-1
4940010,Bayview Hunters Point,RH-1
6965B021,Outer Mission,RH-1
6464048,Excelsior,RH-1
5091001A,Bayview Hunters Point,RH-1
0700031,Japantown,NCD-JAPANTOWN
5827018,Bernal Heights,RH-2
5360002C,Bayview Hunters Point,RH-1
7118036,Oceanview/Merced/Ingleside,RH-1
6473024,Excelsior,RH-1
6752052,Outer Mission,RH-2
3609074,Mission,RTO-M
0192001,Chinatown,CRNC
0809007,Hayes Valley,NCT-HAYES
3636006,Mission,NCT-MISSION
4759013,Bayview Hunters Point,RH-1
6080038,Excelsior,RH-1
5520028,Bernal Heights,RH-1
7001023,Oceanview/Merced/Ingleside,RH-1
6202011,Visitacion Valley,RH-1
7054049,Oceanview/Merced/Ingleside,RH-1
6396020,Excelsior,RH-1
7069018G,Oceanview/Merced/Ingleside,RH-1
4942048,Bayview Hunters Point,RH-1
6474015,Excelsior,RH-1
3597001,Mission,NCT-VALENCIA
5544021,Bernal Heights,RH-2
4968003,Bayview Hunters Point,RH-1
6122013A,Portola,RH-1
4160022,Potrero Hill,RH-2
0128011,Nob Hill,RH-2
6470001A,Excelsior,NCD-EXCELSIOR
5808021,Bernal Heights,RH-2
4710069,Bayview Hunters Point,RH-1
7017051,Oceanview/Merced/Ingleside,RH-1
6347001B,Excelsior,RH-1
4991267,Bayview Hunters Point,RH-2
0294004,Financial District/South Beach,C-3-R
5325030,Bayview Hunters Point,RH-1
5935038,Excelsior,RH-1
6784021,Outer Mission,RH-1
4073018,Potrero Hill,RH-2
6513029,Mission,RH-3
5899051,Portola,RH-1
4760012,Bayview Hunters Point,RH-1
6783003,Outer Mission,RH-1
5642017,Bernal Heights,RH-2
5742004,Bernal Heights,RH-1
6350002,Excelsior,RH-1
6405023,Excelsior,RH-1
6724021,Outer Mission,RH-2
5354A017,Bayview Hunters Point,RH-1
3598114,Mission,RH-3
5915017,Portola,RH-1
0315014,Tenderloin,C-3-G
0348026,Tenderloin,C-3-G
3617080,Mission,RH-3
5337042,Bayview Hunters Point,RH-2
0143002,North Beach,C-2
5426035,Bayview Hunters Point,RH-1
5882001,Portola,RH-1
5721079,Bernal Heights,RH-2
5737005,Bernal Heights,RH-1
3590057,Mission,RTO-M
3611030,Mission,RH-3
7120014,Oceanview/Merced/Ingleside,RH-1
5403005,Bayview Hunters Point,RH-1
5399028,Bayview Hunters Point,RH-1
5335032,Bayview Hunters Point,RH-1
6048001A,Portola,NCD-SAN BRUNO AVENUE
7091015,Oceanview/Merced/Ingleside,RH-1
3609036,Mission,NCT-VALENCIA
4094018,Potrero Hill,RH-3
3548020,Mission,UMU
6274019A,Excelsior,RH-1
6194001A,Visitacion Valley,RH-1
6468A029,Excelsior,NCD-EXCELSIOR
4100086,Potrero Hill,NC-2
6444016,Excelsior,RH-1
4107009,Potrero Hill,NCT-2
6474014H,Excelsior,RH-1
6306025,Visitacion Valley,RH-1
6319001,Visitacion Valley,RH-1
3617094,Mission,RH-3
3146005,Outer Mission,RH-1
5517040,Bernal Heights,RH-2
6598002,Noe Valley,RH-3
7016038,Oceanview/Merced/Ingleside,RH-1
3211006C,Outer Mission,RH-1
6468A013,Excelsior,RH-1
6008006,Excelsior,RH-1
7121003,Oceanview/Merced/Ingleside,RH-1
5939008A,Excelsior,RH-1
3508022,South of Market,C-3-G
4023002,Mission,UMU
0272012,Nob Hill,RM-4
4259011,Potrero Hill,RH-3
5882018,Portola,RH-2
5521010,Bernal Heights,RH-1
5643024,Bernal Heights,RH-2
5987011,Portola,RH-1
5426012,Bayview Hunters Point,RH-1
5674001,Bernal Heights,RH-2
4942007,Bayview Hunters Point,RH-1
5878012,Portola,RH-1
6148034,Portola,RH-1
7031003B,Outer Mission,NCD-EXCELSIOR
7109A011,Outer Mission,RH-1
6326011,Visitacion Valley,RH-1
4097006A,Potrero Hill,RH-2
5661010,Bernal Heights,RH-1
5937037,Excelsior,RH-1
5895005,Excelsior,RH-1
5933027,Portola,RH-1
7106024,Oceanview/Merced/Ingleside,RH-1
5691052,Bernal Heights,RH-1
7005042,Oceanview/Merced/Ingleside,RH-1
4098043,Potrero Hill,RH-2
5320015,Bayview Hunters Point,RH-2
7114077,Oceanview/Merced/Ingleside,RH-1
5517059,Bernal Heights,RH-2
3610022,Mission,NCT-MISSION
5893007,Excelsior,RH-1
6054020,Portola,RH-1
0164033,North Beach,C-2
6344022,Excelsior,RH-1
3642019,Mission,NCT-MISSION
3612039,Mission,RH-3
6038026,Portola,RH-1
6320004,Visitacion Valley,RH-2
3578103,Mission,RH-3
0272028,Nob Hill,RM-4
0767005,Western Addition,C-2
5814021,Bernal Heights,RH-1
4037038,Potrero Hill,RH-2
4085002,Mission,RH-2
5900046,Portola,RH-1
0989025,Presidio Heights,RH-1
5884001,Portola,RH-1
6305027,Visitacion Valley,RH-1
6200056,Visitacion Valley,RH-1
5895011,Excelsior,RH-1
6779032,Outer Mission,RH-1
4966036,Bayview Hunters Point,RH-1
7135041,Oceanview/Merced/Ingleside,RH-1
5522045,Bernal Heights,RH-2
3732139,South of Market,MUR
4161019,Potrero Hill,RH-2
5357011,Bayview Hunters Point,RH-2
5409012,Bayview Hunters Point,RH-2
6323008H,Visitacion Valley,NC-1
5617035,Bernal Heights,RH-2
7110B025,Outer Mission,RH-1
4152025,Mission,RH-2
4160004,Potrero Hill,RH-2
7043002D,Outer Mission,NCD-EXCELSIOR
7003044,Oceanview/Merced/Ingleside,RH-1
6965A021,Outer Mission,RH-1
0318006,Tenderloin,RC-4
5325026,Bayview Hunters Point,RH-1
7049027,Oceanview/Merced/Ingleside,RH-1
7146002D,Outer Mission,RH-1
5807023,Bernal Heights,RH-2
7042B023,Outer Mission,RH-1
5054A039,Bayview Hunters Point,NC-S
3984006B,Potrero Hill,RH-3
7126A011,Oceanview/Merced/Ingleside,RH-1
5720044,Bernal Heights,RH-2
6006027,Excelsior,RH-1
5384C011,Bayview Hunters Point,RH-1
6520005,Mission,RH-3
3568031,Mission,RTO-M
7296010,Lakeshore,C-2
7083026,Oceanview/Merced/Ingleside,RH-1
4067008,Potrero Hill,RH-2
4094067,Potrero Hill,RM-1
4028001N,Potrero Hill,RH-3
0257002,Financial District/South Beach,CCB
4266051,Mission,RH-2
3587036,Mission,RM-2
6779012,Outer Mission,RH-1
6250029,Visitacion Valley,NCD-LELAND
5992002,Portola,RH-1
0700028,Japantown,NCD-JAPANTOWN
3144B024,Outer Mission,RH-1
6957016,Outer Mission,RH-1
5860042,Portola,RH-1
3153042,Outer Mission,RH-1
6339001A,Excelsior,RH-1
6124010,Portola,RH-1
6373005,Visitacion Valley,RH-1
6301025,Visitacion Valley,RH-1
5259004,Bayview Hunters Point,RH-1
4790010,Bayview Hunters Point,RH-1
5620035,Bernal Heights,RH-1
5995001A,Portola,RH-1
7020006,Oceanview/Merced/Ingleside,RH-1
3505025,Mission,NCT-3
4993012,Bayview Hunters Point,RH-1
6594054,Noe Valley,RH-2
5678023,Bernal Heights,NCD-CORTLAND AVENUE
4078001A,Mission,RH-2
0145042,North Beach,RM-1
6080043,Excelsior,RM-1
4993033,Bayview Hunters Point,RH-1
6084010,Excelsior,RH-2
5517093,Bernal Heights,RH-2
4273028,Mission,RH-2
6256006,Visitacion Valley,RH-1
7088027,Oceanview/Merced/Ingleside,RH-1
5651016,Bernal Heights,RH-1
5100010,Bayview Hunters Point,MUG
0302014A,Tenderloin,RC-4
6201003,Visitacion Valley,RH-1
0144004,North Beach,RH-3
7114030,Oceanview/Merced/Ingleside,RH-1
7107011,Oceanview/Merced/Ingleside,RH-2
0309022,Financial District/South Beach,C-3-R
5708034,Bernal Heights,RH-2
6072006C,Excelsior,RH-1
3730067,South of Market,RED
6200051,Visitacion Valley,RH-1
6752045,Outer Mission,RH-2
7073005,Oceanview/Merced/Ingleside,RH-1
4093049,Potrero Hill,RH-2
5928021,Portola,RH-1
5620013A,Bernal Heights,RH-1
0181040,Nob Hill,RH-3
6415011,Excelsior,RH-1
3717012,Financial District/South Beach,C-3-O(SD)
6348018,Excelsior,RH-1
7094004A,Oceanview/Merced/Ingleside,RH-1
6303037,Visitacion Valley,RH-1
5084002,Bayview Hunters Point,RH-1
4040032,Potrero Hill,RH-2
3752028,South of Market,MUR
5860024,Portola,RH-1
4011016,Potrero Hill,RH-3
3147008A,Outer Mission,RH-1
6093007,Excelsior,RH-1
5521041,Bernal Heights,RH-1
4914026,Bayview Hunters Point,RH-1
3152029,Outer Mission,RH-1
6024024,Excelsior,RH-1
5727022,Bernal Heights,RH-1
0665037,Western Addition,RH-3
7057019,Oceanview/Merced/Ingleside,RH-1
4209031,Mission,RH-2
7129040,Oceanview/Merced/Ingleside,RH-1
3633037,Mission,RH-3
3211007D,Outer Mission,NC-1
5545016,Bernal Heights,RH-1
6009032,Excelsior,RH-1
4939002,Bayview Hunters Point,RH-1
5330033,Bayview Hunters Point,RH-1
3202023,Outer Mission,RH-1
6113032,Portola,RH-1
3647033,Mission,RH-3
6998044,Oceanview/Merced/Ingleside,RH-1
3540178,Castro/Upper Market,RM-1
5870033A,Excelsior,RH-1
4976007,Bayview Hunters Point,RH-1
3595049,Mission,NCT-MISSION
6155004,Portola,RH-1
7044A016,Outer Mission,RH-1
5892021C,Excelsior,RH-1
7007045,Oceanview/Merced/Ingleside,RH-1
5839026,Bernal Heights,RH-1(D)
5652006,Bernal Heights,RH-1
6122019A,Portola,RH-1
6720059,Bernal Heights,RH-2
0183036,Nob Hill,NCD-PACIFIC
6198050,Visitacion Valley,RH-1
6245019,Visitacion Valley,RH-2
5922021,Portola,RH-2
6300007,Visitacion Valley,RH-1
5863022,Portola,RH-1(D)
0683020,Japantown,RM-3
3774433,Financial District/South Beach,MUO
5403006,Bayview Hunters Point,RH-1
