mapblklot,from_address_num,street_name,street_type,analysis_neighborhood,zoning_code,zoning_district,supervisor_district,supname,Height_Ft,distance_to_transit
2143044,2038,24TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2437.2806951301145
5068005D,3959,SAN BRUNO,AVE,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,648.4856113370197
6081032,351,PARIS,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,2734.4442261029594
5644025,204,VIRGINIA,AVE,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,1336.4497335646984
5380009,2119,THOMAS,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2965.089133086858
2779031,465,BURNETT,AVE,Twin Peaks,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,40,4191.269537543102
3111008,115,HAZELWOOD,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2475.61973837182
3541081,819,14TH,ST,Castro/Upper Market,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,8,Rafael Mandelman,40,505.39316180585854
6522013,2860,HARRISON,ST,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,1835.0778404065284
2439033,2522,39TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,946.7160659135152
0640005,1910,CALIFORNIA,ST,Pacific Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,50,1107.0958635762688
5330058,,,,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2217.760582044772
1826016,1479,27TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,566.6753429974686
1809001A,1407,44TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,85,347.99789690567053
2658027,4690,18TH,ST,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,2428.8731885312213
5966022,1718,BURROWS,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,4716.711774221926
6616006,1630,GUERRERO,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1097.3701195342915
3152007,30,DELANO,AVE,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,576.724531804701
3011A010A,170,SAN PABLO,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1774.5556025960334
1615013,2830,CABRILLO,ST,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2221.869124327145
5526012,1670,ALABAMA,ST,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,3237.413073071934
1442043,951,CLEMENT,ST,Inner Richmond,NCD,INNER CLEMENT STREET NEIGHBORHOOD COMMERCIAL,1,Connie Chan,65,941.4732316743265
2303011,2255,46TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,979.4519187804174
2112001G,,,,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,3223.750780287474
3587095,25,OAKWOOD,ST,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1050.5739534469922
0996055,3448,CLAY,ST,Presidio Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",2,Stephen Sherrill,40,2521.391297267565
0967001,1,CHERRY,ST,Presidio Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",2,Stephen Sherrill,40,3099.9252379736217
1386046,2509,LAKE,ST,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,1978.0823489914314
1736023,1258,15TH,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",7,Myrna Melgar,40,981.9892758575704
3622041,565,HILL,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1731.398175952641
0796004,1,BANNEKER,WAY,Hayes Valley,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",5,Bilal Mahmood,50,2593.996392543188
1651012,763,08TH,AVE,Inner Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2597.185685824568
1721025,1274,30TH,AVE,Sunset/Parkside,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",4,Alan Wong,40,947.2554673184063
2017029,1750,33RD,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2425.293034873129
2947A025,781,ROCKDALE,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,3143.389139394062
1520023,562,25TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,444.41411180435364
5379025,71,WATERVILLE,ST,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,3294.075645253153
1900001,3713,LAWTON,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1400.789861355717
6081051,238,BRAZIL,AVE,Excelsior,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",11,Chyanne Chen,40,2877.977986699476
2036B008,523,NORIEGA,ST,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,2522.9684188393035
2926019,295,DORANTES,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1210.632784314323
6507020,4073,24TH,ST,Noe Valley,NCD,24TH STREET- NOE VALLEY NEIGHBORHOOD COMMERCIAL,8,Rafael Mandelman,65,1722.8057764586565
0180008,922,JACKSON,ST,Chinatown,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",3,Danny Sauter,65,735.4705186946126
5379020,89,WATERVILLE,ST,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,3248.938658727646
1275047,8,HILL POINT,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,233.2059535577006
5685017,361,BANKS,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,3380.9652631594295
1862A007C,1558,17TH,AVE,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,1142.4107977680544
1886016,3420,LAWTON,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1277.2188594581223
1762013,1363,07TH,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",7,Myrna Melgar,40,493.12727832725596
2656015,3046,MARKET,ST,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,2074.2980543537305
3789010,48,COLIN P KELLY JR,ST,Financial District/South Beach,SB-DTR,SOUTH BEACH DOWNTOWN RESIDENTIAL,6,Matt Dorsey,105,744.2602441720212
0219024,1415,CLAY,ST,Nob Hill,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",3,Danny Sauter,65,1823.889104220994
6358022,20,ARGONAUT,AVE,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2493.157064309447
0515010,2208,FILBERT,ST,Marina,NCD,UNION STREET NEIGHBORHOOD COMMERCIAL,2,Stephen Sherrill,65,3451.0016201430435
6938004,1171,CAPITOL,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,544.5173729804576
3602055,4160,20TH,ST,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1719.9882709654628
7052051,,,,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1342.3669978407045
0071089,1160,GREENWICH,ST,Russian Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",3,Danny Sauter,50,1753.5760724176446
4711120,8,RICHARDS,CIR,Bayview Hunters Point,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,1336.692010281576
3270021,90,WESTGATE,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,661.9269777749954
0295017,345,STOCKTON,ST,Financial District/South Beach,C-3-R,DOWNTOWN- RETAIL,3,Danny Sauter,130,499.8768899868385
4158075,1115,KANSAS,ST,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,2953.4027587292603
1936014A,1673,07TH,AVE,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,1927.1864001099564
1544005,617,ARGUELLO,BLVD,Inner Richmond,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",1,Connie Chan,40,826.4458661909714
1604003I,779,40TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1906.466704537899
5337018,75,BRIDGEVIEW,DR,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1231.799396039076
1652050,793,09TH,AVE,Inner Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2860.800889567043
5701035,471,BANKS,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,3438.1754218245273
3776120,226,RITCH,ST,South of Market,CMUO,CENTRAL SOMA-MIXED USE OFFICE,6,Matt Dorsey,55,753.3848610310152
1177066,1863,MCALLISTER,ST,Lone Mountain/USF,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",2,Stephen Sherrill,50,2276.4491445054255
2999B008,9,BELLA VISTA,WAY,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,3695.0598035010507
7112018,53,BROAD,ST,Oceanview/Merced/Ingleside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",11,Chyanne Chen,40,316.101684818713
3589084,3476,19TH,ST,Mission,NCT,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT,9,Jackie Fielder,55,1779.8377537185659
4334005,2888,CESAR CHAVEZ,ST,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,3416.708634702477
0526041,2445,POLK,ST,Russian Hill,NCD,POLK STREET NEIGHBORHOOD COMMERCIAL,3,Danny Sauter,85,454.4406399373925
6986006,363,FAXON,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1300.8707273890102
7087026,218,ARCH,ST,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,136.44166535266055
2831008,4120,24TH,ST,Noe Valley,NCD,24TH STREET- NOE VALLEY NEIGHBORHOOD COMMERCIAL,8,Rafael Mandelman,65,2094.8707051317097
1847050,145,JUDAH,ST,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",7,Myrna Melgar,40,739.6514868094789
2137002E,2059,17TH,AVE,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,2352.0652948327993
1881018,1579,35TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1243.579934217472
5610028,118,COSO,AVE,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2181.888056933983
3076013,272,SANTA PAULA,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1589.0147838970213
7380011,2,THOMAS MORE,WAY,Lakeshore,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,50,1173.9018824816228
2499A033,280,CRESTLAKE,DR,Sunset/Parkside,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",4,Alan Wong,40,2694.0512676347653
0542018,2906,BUCHANAN,ST,Marina,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",2,Stephen Sherrill,40,2329.9869250372094
6463029,90,CURTIS,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3196.7554750258655
6979045,15,HOLLOWAY,AVE,Oceanview/Merced/Ingleside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",11,Chyanne Chen,40,685.3496872529033
6665102,158,LAIDLEY,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1316.8414980775701
3612016,2936,21ST,ST,Mission,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",9,Jackie Fielder,40,2479.2554583369824
0130040,625,GREEN,ST,Chinatown,NCD,NORTH BEACH NEIGHBORHOOD COMMERCIAL,3,Danny Sauter,40,1639.90752366468
1625023,614,20TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1504.62536675563
2747010,3539,MARKET,ST,Twin Peaks,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,2772.1866959362274
6463056C,20,ROLPH,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,2372.050859595472
2828005B,4406,24TH,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,3865.6636483432485
6091027,577,VIENNA,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,4055.1208383351627
7044B023,28,SALA,TER,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1697.8516661193228
0912008,555,MARINA,BLVD,Marina,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",2,Stephen Sherrill,40,5092.775417479669
1635011,679,09TH,AVE,Inner Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2166.8508552579483
1884054,3421,KIRKHAM,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,850.6633398821415
3534123,269,CLINTON,PARK,Mission,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,8,Rafael Mandelman,40,317.8774848691064
2765011,4264,22ND,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,3361.398091056775
3577081,35,DEARBORN,ST,Mission,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,9,Jackie Fielder,45,1248.5777322341803
2689021,4741,18TH,ST,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,2677.7291357650056
5979028A,219,GOETTINGEN,ST,Portola,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,3947.9016261350907
0775019A,956,PIERCE,ST,Western Addition,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",5,Bilal Mahmood,40,2068.263759872766
1845021,426,KIRKHAM,ST,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,610.9894844462283
1512035,554,33RD,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,375.94795762931216
1561035,526,19TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,969.7452403314848
4260014,1379,KANSAS,ST,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,3402.4837586617073
2919A018,80,WAWONA,ST,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,364.56491939819705
3282005A,133,KENWOOD,WAY,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1110.5600095383504
6941061,1431,OCEAN,AVE,Oceanview/Merced/Ingleside,NCT,OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT,11,Chyanne Chen,50,172.87447934925757
2038A025,1734,12TH,AVE,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,2284.3279585114083
3566020,2,ABBEY,ST,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,50,423.0964857674226
7331167,156,SUMMIT,WAY,Lakeshore,PM-R|RM-1,"PARKMERCED-RESIDENTIAL|RESIDENTIAL- MIXED, LOW DENSITY",7,Myrna Melgar,40,1135.0357781301677
4160080,1067,DE HARO,ST,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,2376.1088876537087
1239018,204,DIVISADERO,ST,Haight Ashbury,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",5,Bilal Mahmood,50,975.9487378038406
0949011B,2600,LYON,ST,Marina,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",2,Stephen Sherrill,40,4539.003949389483
2150018B,2006,31ST,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2643.1895980968825
2474028,2670,23RD,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1870.8661960344807
7062051,33,LAKEVIEW,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,188.31957656902281
3137020,60,VALDEZ,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2153.9329620353483
1578021D,618,36TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,826.9296396203974
3584104,146,HANCOCK,ST,Castro/Upper Market,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,40,869.3963964742604
1030059,1722,LYON,ST,Presidio Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,1640.8849928258671
3043008,44,ROSEWOOD,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2825.5821081724685
1904019,1675,39TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1852.8901686824865
1280030,37,GRATTAN,ST,Haight Ashbury,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,787.7735743325785
1197070,545,CENTRAL,AVE,Lone Mountain/USF,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",5,Bilal Mahmood,40,2790.4578046131473
1792002D,1333,37TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,494.55321378560416
2065008B,2132,ORTEGA,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,3306.6429777507815
5938027A,1345,SILLIMAN,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,4636.814244874102
2965A031A,23,GAVIOTA,WAY,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,4346.153351116239
5354036,67,APOLLO,ST,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1787.7734646314866
3141027,106,FOERSTER,ST,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,2179.4269202947967
7553016,274,SUSSEX,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1741.4250451511205
7075038,266,VERNON,ST,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1106.2725418273703
6551022,3888,26TH,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,143.39106577198132
7019032,38,BRIGHTON,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1597.8215764213817
2052A014,1850,16TH,AVE,Inner Sunset,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,3073.277885139058
1709017,4006,IRVING,ST,Sunset/Parkside,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",4,Alan Wong,65,885.3726653842724
7143015,959,HURON,AVE,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1649.5792938774027
6616045,21,28TH,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1142.1055596586475
1802049,4220,JUDAH,ST,Sunset/Parkside,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",4,Alan Wong,50,222.91077357015809
0848001A,359,FILLMORE,ST,Hayes Valley,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",5,Bilal Mahmood,50,1310.765554944111
2017032,1738,33RD,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2351.455223017697
2961A031,919,ROCKDALE,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2985.6535489368184
0656056,1938,SCOTT,ST,Pacific Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,1643.4687233373052
4069024B,525,WISCONSIN,ST,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,2212.726604394287
3619063,24,CHATTANOOGA,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,50,272.86661933179005
7112014,81,BROAD,ST,Oceanview/Merced/Ingleside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",11,Chyanne Chen,40,156.85038559567033
1524043,2918,ANZA,ST,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,621.9298525806959
6913003,15,CERRITOS,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,615.3661023959985
5995005,1530,BACON,ST,Portola,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,5400.980762474261
1375046,118,16TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1982.4694288002574
6713024,54,SUSSEX,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1357.6803359180496
3777023,132,FREELON,ST,South of Market,CMUO,CENTRAL SOMA-MIXED USE OFFICE,6,Matt Dorsey,45,319.2164913916577
6955051,1,WATTSON,PL,Outer Mission,NCD,EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT,11,Chyanne Chen,65,1779.9711899415065
6556030,553,CLIPPER,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,2879.7034578609073
6117065,76,KAREN,CT,Portola,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,3205.3248401917554
6463036,171,POPE,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3076.3282858009934
4172036,1109,TENNESSEE,ST,Potrero Hill,NCT-2,NEIGHBORHOOD COMMERCIAL TRANSIT-2,10,Shamann Walton,40,855.0077640106207
5806013,63,ARNOLD,AVE,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2357.0994729051044
0689029,,,,Western Addition,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",2,Stephen Sherrill,500,577.9413734942266
5073038,129,NUEVA,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1631.2294559061206
0650005,1801,OCTAVIA,ST,Pacific Heights,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",5,Bilal Mahmood,40,1424.157830919305
6542001,4601,25TH,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,3861.802383249527
5972024,231,PRINCETON,ST,Portola,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,5289.146990824337
3590009A,786,SOUTH VAN NESS,AVE,Mission,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,9,Jackie Fielder,50,1761.5240773641883
6482027,131,NEWTON,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3657.750469564465
6015041,138,EXCELSIOR,AVE,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,2532.2197824798477
1331029,142,28TH,AVE,Seacliff,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",1,Connie Chan,40,2567.07184301308
2423017,2581,22ND,AVE,Sunset/Parkside,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",4,Alan Wong,40,1226.1362865591218
3753146,300,05TH,ST,South of Market,MUR,MIXED USE-RESIDENTIAL,6,Matt Dorsey,85,1055.4204883712493
2440056,3835,ULLOA,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,756.0248064503559
2112018,1991,22ND,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2814.7493886842108
5556056,305,FRANCONIA,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,4158.048524306113
0436E024,3682,FILLMORE,ST,Marina,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,3226.9220367793205
